,protocol,io,srcport,dstport,payload
550,1,0,80,0,0.09129583766078134
551,1,1,0,80,780.8875
552,1,0,80,0,6.010904733373278
553,1,1,0,80,57.1375
554,1,0,80,0,32.54382040425022
555,1,1,0,80,63.5125
556,1,0,80,0,20.33650235679476
557,1,1,0,80,63.5125
558,1,1,0,80,1096.1875
559,1,0,80,0,0.08620276424063274
560,1,0,80,0,0.8659423184469122
561,1,1,0,80,60.325
562,1,0,0,443,8.851015801354402
563,1,0,0,443,9.428893905191874
564,1,1,0,80,872.4125
565,1,0,80,0,0.08620276424063274
566,1,0,80,0,18.067847727091156
567,1,1,0,80,63.5125
568,1,0,80,0,18.37343213230007
569,1,1,0,80,60.325
570,1,0,80,0,13.634616920987456
571,1,1,0,80,63.5125
572,1,1,0,80,1055.35
573,1,0,80,0,0.08620276424063274
574,1,1,0,80,686.6875
575,1,1,0,80,677.35
576,1,0,80,0,0.10148603842927335
577,1,1,0,80,664.6625
578,1,0,80,0,0.09641201853923606
579,1,1,0,80,50.6625
580,1,0,80,0,0.09622144112478032
581,1,1,0,80,60.325
582,1,1,0,80,866.125
583,1,0,80,0,0.10147387761623262
584,1,1,0,80,53.85
585,1,0,80,0,0.10131006110955786
586,1,1,0,80,66.7
587,1,1,0,80,677.35
588,1,0,80,0,0.09128489835044135
589,1,0,80,0,3.5353733072344506
590,1,1,0,80,60.325
591,1,1,0,80,664.7375
592,1,0,80,0,7.1833233473137605
593,1,1,0,80,53.95
594,1,1,0,80,1194.1125
595,1,0,80,0,1.2459245644877737
596,1,0,80,0,2.0240482563016817
597,1,0,80,0,0.09129219093269422
598,1,0,80,0,21.64927698330271
599,1,1,0,80,57.1375
600,1,0,80,0,20.816130063114166
601,1,1,0,80,57.1375
602,1,0,80,0,20.97401533913877
603,1,1,0,80,60.325
604,1,1,0,80,63.5125
605,1,1,0,80,66.7
606,1,0,80,0,18.243918999880176
607,1,1,0,80,63.5125
608,1,0,80,0,18.25919638934377
609,1,1,0,80,63.5125
610,1,0,80,0,25.585433558333666
611,1,1,0,80,66.7
612,1,0,80,0,11.02462355713544
613,1,1,0,80,63.5125
614,1,0,80,0,24.482445979949674
615,1,1,0,80,60.325
616,1,0,80,0,18.74882169675667
617,1,1,0,80,60.325
618,1,0,80,0,3.081382808755392
619,1,1,0,80,60.325
620,1,0,80,0,20.81446716727912
621,1,0,80,0,20.707521169515896
622,1,0,80,0,11.0708979070139
623,1,1,0,80,63.5125
624,1,0,80,0,37.48274484741972
625,1,0,80,0,7.718285668637162
626,1,1,0,80,63.5125
627,1,0,80,0,6.899344943281674
628,1,1,0,80,63.5125
629,1,1,0,80,63.5125
630,1,1,0,80,63.5125
631,1,1,0,80,63.5125
632,1,0,80,0,55.79928902380572
633,1,1,0,80,60.325
634,1,0,80,0,38.570564032915236
635,1,1,0,80,60.325
636,1,0,80,0,37.236178796836306
637,1,1,0,80,57.1375
638,1,0,80,0,37.093572741072144
639,1,1,0,80,60.325
640,1,0,80,0,37.50611168810418
641,1,1,0,80,63.5125
642,1,0,80,0,3.810877206998482
643,1,1,0,80,60.325
644,1,0,80,0,18.141867060797317
645,1,1,0,80,63.5125
646,1,0,80,0,0.12155468562754654
647,1,1,0,80,63.5125
648,1,0,80,0,18.27084082284801
649,1,1,0,80,53.95
650,1,0,80,0,3.2546834431795486
651,1,0,80,0,20.17359696425005
652,1,1,0,80,57.1375
653,1,0,80,0,20.336568803674854
654,1,1,0,80,53.95
655,1,0,80,0,20.484262033153584
656,1,1,0,80,53.95
657,1,0,80,0,20.850948671859395
658,1,1,0,80,57.1375
659,1,0,80,0,20.65741961254244
660,1,1,0,80,57.1375
661,1,0,80,0,25.69442780107849
662,1,1,0,80,57.1375
663,1,0,80,0,25.276812462552428
664,1,1,0,80,57.1375
665,1,0,80,0,3.815817855002996
666,1,0,80,0,34.464349910125826
667,1,1,0,80,57.1375
668,1,0,0,443,8.851015801354402
669,1,1,0,80,1055.2375
670,1,0,80,0,0.09129583766078134
671,1,1,0,80,898.0625
